addr,chargeTp,cpId,cpNm,cpStat,cpTp,csId,csNm,lat,longi,statUpdatedatetime
"부산광역시 연제구 연수로 110 (연산동, 연산 경동메르빌아파트) 지하2층 기둥D",1,5764,완속01,1,03,1984,연산경동메르빌,35.174530184180426,129.08285956650778,
"부산광역시 연제구 연수로 110 (연산동, 연산 경동메르빌아파트) 지하2층 기둥D",2,5763,급속01,1,10,1984,연산경동메르빌,35.174530184180426,129.08285956650778,
인천광역시 연수구 컨벤시아대로42번길 35 지하2층 703동 앞(전기실),1,4118,완속02,4,03,1378,그린애비뉴7단지,37.399038,126.648164,
인천광역시 연수구 컨벤시아대로42번길 35 지하2층 703동 앞(전기실),1,4117,완속01,4,03,1378,그린애비뉴7단지,37.399038,126.648164,
인천광역시 연수구 컨벤시아대로42번길 35 지하2층 703동 앞(전기실),2,4116,급속01,4,10,1378,그린애비뉴7단지,37.399038,126.648164,
"인천광역시 계양구 장제로663번길 13 (작전동, 작전2차 동보아파트) 지상주차장 관리사무소 앞",1,4113,완속01,1,03,1376,작전동보2차 아파트,37.526367,126.732737,
"인천광역시 계양구 장제로663번길 13 (작전동, 작전2차 동보아파트) 지상주차장 관리사무소 앞",2,4112,급속01,1,10,1376,작전동보2차 아파트,37.526367,126.732737,
전북특별자치도 전주시 덕진구 송천동1가 두간6길 9 지하 주차장(구역 101동1),1,6582,완속01,4,03,2402,송천케이제이라미안아파트,35.866332,127.115847,
전북특별자치도 전주시 덕진구 송천동1가 두간6길 9 지하 주차장(구역 101동1),2,6581,급속01,4,10,2402,송천케이제이라미안아파트,35.866332,127.115847,
"경상남도 양산시 대운로 354 (삼호동, 대동이미지타운) 103동 후면 주차장(입구 맞은편) 옹벽쪽 주차장 나면",1,5123,완속03,3,03,1734,양산서창대동이미지타운1단지,35.4165751713,129.179200933,
"경상남도 양산시 대운로 354 (삼호동, 대동이미지타운) 103동 후면 주차장(입구 맞은편) 옹벽쪽 주차장 나면",1,5122,완속02,1,03,1734,양산서창대동이미지타운1단지,35.4165751713,129.179200933,
"경상남도 양산시 대운로 354 (삼호동, 대동이미지타운) 103동 후면 주차장(입구 맞은편) 옹벽쪽 주차장 나면",1,5121,완속01,1,03,1734,양산서창대동이미지타운1단지,35.4165751713,129.179200933,
"경상남도 양산시 대운로 354 (삼호동, 대동이미지타운) 103동 후면 주차장(입구 맞은편) 옹벽쪽 주차장 나면",2,5120,급속01,1,10,1734,양산서창대동이미지타운1단지,35.4165751713,129.179200933,
"광주광역시 남구 제석로80번길 5 (봉선동, 제일풍경채 ELITE PARK) (실내지하)101동 지하주차장A65",2,4669,급속01,6,10,1576,봉선동제일풍경채엘리트파크,35.121614,126.908345,
"부산광역시 남구 분포로 111 (용호동, 엘지메트로시티) 123동 지하주차장",1,5155,완속01,6,03,2023,엘지메트로시티 아파트(123동),35.130541353962734,129.11426223974465,
"부산광역시 남구 분포로 111 (용호동, 엘지메트로시티) 123동 지하주차장",2,5151,급속01,1,10,2023,엘지메트로시티 아파트(123동),35.130541353962734,129.11426223974465,
대구광역시 달서구 파호동 달구벌대로 995 지하주차장(103-106동 사이),1,5694,완속02,1,03,1960,성서우방유쉘 아파트,35.853869,128.475762,
대구광역시 달서구 파호동 달구벌대로 995 지하주차장(103-106동 사이),1,5693,완속01,6,03,1960,성서우방유쉘 아파트,35.853869,128.475762,
대구광역시 달서구 파호동 달구벌대로 995 지하주차장(103-106동 사이),2,5692,급속01,1,10,1960,성서우방유쉘 아파트,35.853869,128.475762,
경상북도 포항시 북구 흥해읍 동해대로 1181 103동 지하 2층 D12구역,2,5724,급속01,1,10,1970,삼도뷰엔빌스마트,36.081557,129.334891,
세종특별자치시 보람동 보람동로 14 지하주차장,2,8473,급속01,1,10,3281,호려울마을8,36.47945,127.296308,
서울특별시 강서구 마곡동 마곡서1로 81 지하1층 좌측 806동 A06기둥,2,8489,급속01,1,10,3288,마곡엠밸리8단지,37.564076,126.819977,
제주특별자치도 제주시 아라일동 아연로 512 주차장,1,5836,완속02,1,03,2012,아라주원라비앙,33.4760010571,126.5345813809,
제주특별자치도 제주시 아라일동 아연로 512 주차장,1,5835,완속01,1,03,2012,아라주원라비앙,33.4760010571,126.5345813809,
"경기도 용인시 수지구 심곡로 16 (상현동, 성복역금호베스트빌) 제2주차장 B1F 58",1,5400,완속02,1,03,1845,서원마을금호베스트빌5단지아파트,37.3067360352562,127.078368266103,
